track_genre,valence,energy,danceability,tempo,acousticness,instrumentalness,liveness,speechiness,cluster,cluster_name
club,0.3682132,0.7217338,0.6033541,123.301328,0.15939126669,0.34782217578,0.1993685,0.0943238,5,breakbeat
comedy,0.4548455,0.699934,0.577195,100.995582,0.726476182,0.00052477331,0.6616660000000001,0.7556253,2,comedy
country,0.5214813,0.5968052,0.555294,123.963307,0.321226736,0.00558462043,0.1772382,0.042268,0,acoustic
dance,0.5525414,0.708583,0.687856,120.128306,0.1311856039,0.00835941532,0.1681884,0.0876378,4,afrobeat
dancehall,0.6290086,0.6852619999999999,0.734169,112.909984,0.215493569,0.00713402996,0.1567694,0.1869861,4,afrobeat
death-metal,0.2476111,0.93147,0.3684109,123.779016,0.0066957065,0.27573075265,0.2432416,0.1112591,1,alt-rock
deep-house,0.4472821,0.741855,0.710448,120.874904,0.10145172488,0.23761450877,0.1708076,0.0599097,5,breakbeat
detroit-techno,0.4692299,0.7105123999999999,0.722568,126.592234,0.0656406970599999,0.6995483518,0.1545090999999999,0.0727167,5,breakbeat
disco,0.6707538,0.737565,0.676692,121.97438,0.1662128304,0.08095198711,0.1953252,0.0592516,4,afrobeat
disney,0.3685574,0.30251886,0.4628741999999999,112.060854,0.7428922646,0.38355346894,0.1685303,0.0748771,3,ambient
drum-and-bass,0.3214739,0.8766349999999999,0.535486,155.241712,0.02593057556,0.37143774644,0.2205559,0.0916362,1,alt-rock
dub,0.3867285,0.714817,0.575321,129.450647,0.1224407862,0.0885266539299999,0.1895502,0.097296,1,alt-rock
dubstep,0.2717089,0.758969,0.518087,133.631709,0.1136410973,0.09307878863,0.1996264999999999,0.0903804,1,alt-rock
edm,0.4651983,0.756196,0.64822,122.037299,0.1142702479999999,0.0400528452499999,0.1929671999999999,0.0703859999999999,4,afrobeat
electro,0.4667432999999999,0.665,0.651749,120.835059,0.227599936,0.03772335086,0.1850172,0.0794304,4,afrobeat
electronic,0.3918389,0.6947523,0.652945,122.947839,0.1770264691,0.24869727176,0.1907762999999999,0.0817677999999999,5,breakbeat
emo,0.441135,0.6699669202999999,0.599321,126.992643,0.1950806662999999,0.03028117864,0.1837375999999999,0.1089572,4,afrobeat
folk,0.4906028,0.545807,0.558514,118.469526,0.475332133,0.03767461184,0.1761065999999999,0.0587055,0,acoustic
forro,0.7606934,0.789526,0.6497759999999999,140.362197,0.39757555,0.0012565736,0.2949711,0.0571891,4,afrobeat
french,0.4299395,0.5949901999999999,0.6514675999999999,117.820086,0.34971259679,0.15883940872,0.1744812,0.1266466,0,acoustic
funk,0.5996525,0.632999,0.678184,117.755823,0.2996570330999999,0.00779820822,0.1805569,0.1516485,4,afrobeat
garage,0.5180332,0.7443500000000001,0.4842644,127.048215,0.1675072303599999,0.18986973912,0.2126866,0.0659337,1,alt-rock
german,0.3790779999999999,0.53171768,0.5243375,117.503453,0.38183399837,0.28890127507,0.1963818,0.0975087,0,acoustic
gospel,0.3206412,0.5762564,0.473298,125.625127,0.3768905429999999,0.00330670977,0.2986686,0.0412708,0,acoustic
goth,0.443546,0.7409699202000001,0.478875,124.267599,0.16407584244,0.11941419645,0.2303572,0.0730923,1,alt-rock
grindcore,0.2164336,0.924201,0.2718537,119.229915,0.0086983045,0.53845566901,0.2812346999999999,0.1374715,1,alt-rock
groove,0.4264725,0.7636218,0.5839099999999999,123.739211,0.1316428056,0.14554150927,0.2311153,0.0707264,1,alt-rock
grunge,0.400373,0.80329,0.457062,129.349208,0.05344148973,0.03698348895,0.2221261,0.0610544,1,alt-rock
